pygame 2.0.1 (SDL 2.0.14, Python 3.7.11)
Hello from the pygame community. https://www.pygame.org/contribute.html
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to ./ACAS2D_PPO_tensorboard/run_1048576_6
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 657      |
|    ep_rew_mean     | -608     |
| time/              |          |
|    fps             | 83       |
|    iterations      | 1        |
|    time_elapsed    | 24       |
|    total_timesteps | 2048     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 716          |
|    ep_rew_mean          | -531         |
| time/                   |              |
|    fps                  | 86           |
|    iterations           | 2            |
|    time_elapsed         | 47           |
|    total_timesteps      | 4096         |
| train/                  |              |
|    approx_kl            | 0.0016221893 |
|    clip_fraction        | 0.00161      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | 2.96e-05     |
|    learning_rate        | 0.0003       |
|    loss                 | 730          |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00107     |
|    std                  | 0.988        |
|    value_loss           | 8.36e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 714         |
|    ep_rew_mean          | -559        |
| time/                   |             |
|    fps                  | 87          |
|    iterations           | 3           |
|    time_elapsed         | 70          |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.001011891 |
|    clip_fraction        | 0.000244    |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.41       |
|    explained_variance   | 0.00554     |
|    learning_rate        | 0.0003      |
|    loss                 | 3.25        |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.000125   |
|    std                  | 0.987       |
|    value_loss           | 4.13e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 811          |
|    ep_rew_mean          | -422         |
| time/                   |              |
|    fps                  | 88           |
|    iterations           | 4            |
|    time_elapsed         | 92           |
|    total_timesteps      | 8192         |
| train/                  |              |
|    approx_kl            | 0.0010535354 |
|    clip_fraction        | 4.88e-05     |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | 0.0204       |
|    learning_rate        | 0.0003       |
|    loss                 | 32.8         |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.000196    |
|    std                  | 0.989        |
|    value_loss           | 8.16e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 838         |
|    ep_rew_mean          | -286        |
| time/                   |             |
|    fps                  | 88          |
|    iterations           | 5           |
|    time_elapsed         | 115         |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.007820955 |
|    clip_fraction        | 0.0833      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.43       |
|    explained_variance   | 0.377       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.507       |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.00317    |
|    std                  | 1.02        |
|    value_loss           | 1.68        |
-----------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 894           |
|    ep_rew_mean          | -229          |
| time/                   |               |
|    fps                  | 88            |
|    iterations           | 6             |
|    time_elapsed         | 138           |
|    total_timesteps      | 12288         |
| train/                  |               |
|    approx_kl            | 0.00033072647 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.44         |
|    explained_variance   | -0.0285       |
|    learning_rate        | 0.0003        |
|    loss                 | 7.34e+03      |
|    n_updates            | 50            |
|    policy_gradient_loss | -7.47e-05     |
|    std                  | 1.02          |
|    value_loss           | 4.13e+03      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 934          |
|    ep_rew_mean          | -186         |
| time/                   |              |
|    fps                  | 89           |
|    iterations           | 7            |
|    time_elapsed         | 160          |
|    total_timesteps      | 14336        |
| train/                  |              |
|    approx_kl            | 0.0026521469 |
|    clip_fraction        | 0.0372       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.44        |
|    explained_variance   | 0.601        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.662        |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00239     |
|    std                  | 1.01         |
|    value_loss           | 2.03         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 951         |
|    ep_rew_mean          | -170        |
| time/                   |             |
|    fps                  | 89          |
|    iterations           | 8           |
|    time_elapsed         | 183         |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.006287897 |
|    clip_fraction        | 0.0343      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.43       |
|    explained_variance   | 0.546       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.31        |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0023     |
|    std                  | 1.02        |
|    value_loss           | 5.5         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 979          |
|    ep_rew_mean          | -147         |
| time/                   |              |
|    fps                  | 89           |
|    iterations           | 9            |
|    time_elapsed         | 206          |
|    total_timesteps      | 18432        |
| train/                  |              |
|    approx_kl            | 0.0024818876 |
|    clip_fraction        | 0.0267       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.42        |
|    explained_variance   | 0.877        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.535        |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.00207     |
|    std                  | 0.983        |
|    value_loss           | 1.67         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -124         |
| time/                   |              |
|    fps                  | 89           |
|    iterations           | 10           |
|    time_elapsed         | 229          |
|    total_timesteps      | 20480        |
| train/                  |              |
|    approx_kl            | 0.0028824648 |
|    clip_fraction        | 0.0229       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.4         |
|    explained_variance   | 0.807        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.662        |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.00217     |
|    std                  | 0.978        |
|    value_loss           | 2.53         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.02e+03     |
|    ep_rew_mean          | -109         |
| time/                   |              |
|    fps                  | 89           |
|    iterations           | 11           |
|    time_elapsed         | 252          |
|    total_timesteps      | 22528        |
| train/                  |              |
|    approx_kl            | 0.0040100263 |
|    clip_fraction        | 0.0167       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.39        |
|    explained_variance   | 0.928        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.523        |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.00225     |
|    std                  | 0.956        |
|    value_loss           | 1.34         |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.03e+03   |
|    ep_rew_mean          | -103       |
| time/                   |            |
|    fps                  | 89         |
|    iterations           | 12         |
|    time_elapsed         | 275        |
|    total_timesteps      | 24576      |
| train/                  |            |
|    approx_kl            | 0.00573185 |
|    clip_fraction        | 0.0441     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.36      |
|    explained_variance   | 0.941      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.164      |
|    n_updates            | 110        |
|    policy_gradient_loss | -0.00637   |
|    std                  | 0.932      |
|    value_loss           | 0.483      |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.04e+03     |
|    ep_rew_mean          | -90.1        |
| time/                   |              |
|    fps                  | 89           |
|    iterations           | 13           |
|    time_elapsed         | 298          |
|    total_timesteps      | 26624        |
| train/                  |              |
|    approx_kl            | 0.0014190931 |
|    clip_fraction        | 0.0108       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.35        |
|    explained_variance   | 0.958        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0497       |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.00221     |
|    std                  | 0.943        |
|    value_loss           | 0.239        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.05e+03     |
|    ep_rew_mean          | -80.4        |
| time/                   |              |
|    fps                  | 89           |
|    iterations           | 14           |
|    time_elapsed         | 321          |
|    total_timesteps      | 28672        |
| train/                  |              |
|    approx_kl            | 0.0052742655 |
|    clip_fraction        | 0.0521       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.36        |
|    explained_variance   | 0.95         |
|    learning_rate        | 0.0003       |
|    loss                 | 0.17         |
|    n_updates            | 130          |
|    policy_gradient_loss | -0.00303     |
|    std                  | 0.939        |
|    value_loss           | 1.01         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.06e+03    |
|    ep_rew_mean          | -76.7       |
| time/                   |             |
|    fps                  | 89          |
|    iterations           | 15          |
|    time_elapsed         | 344         |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.004686962 |
|    clip_fraction        | 0.0325      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.35       |
|    explained_variance   | 0.981       |
|    learning_rate        | 0.0003      |
